gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
jgi|Aurli1|10263|gm1.10263_g	306.6912	0.06578249	0.098547	0.365734	0.6223029
jgi|Aurli1|10264|gm1.10264_g	941.0687	0.1027091	0.12382192	0.184011	0.4346135
jgi|Aurli1|10268|gm1.10268_g	18.17934	-0.291931	0.4903849	0.02279139	0.1393089
jgi|Aurli1|102684|estExt_Genewise1Plus.C_3_t10448	658.2433	-0.0678892	0.12986122	0.3649191	0.6221214
jgi|Aurli1|1027|gm1.1027_g	242.1313	0.02636232	0.0802662	0.6900524	0.8455989
jgi|Aurli1|102706|estExt_Genewise1Plus.C_3_t10494	576.9384	0.14783	0.06733133	0.01198435	0.09519905
jgi|Aurli1|10274|gm1.10274_g	15.19787	-0.01180737	0.19167327	0.8541948	0.9311682
jgi|Aurli1|102757|estExt_Genewise1Plus.C_3_t20053	177.3834	0.1377186	0.09759852	0.06082685	0.238456
jgi|Aurli1|102789|estExt_Genewise1Plus.C_3_t20098	2283.159	0.08623585	0.11265314	0.2537958	0.5149617
jgi|Aurli1|1028|gm1.1028_g	11.51292	-0.02837153	0.12564513	0.6976004	0.8498966
jgi|Aurli1|10281|gm1.10281_g	173.8983	-0.1974878	0.36302198	0.05910751	0.2349358
jgi|Aurli1|102838|estExt_Genewise1Plus.C_3_t20165	233.7473	-0.2678405	0.11177336	0.0008741986	0.02065008
jgi|Aurli1|10284|gm1.10284_g	817.1198	0.02715982	0.11048702	0.7129009	0.8594122
jgi|Aurli1|102864|estExt_Genewise1Plus.C_3_t20204	145.0933	0.001497773	0.1067911	0.9837261	0.992595
jgi|Aurli1|102883|estExt_Genewise1Plus.C_3_t20226	2737.902	-0.2244313	0.17450412	0.01700444	0.1166978
jgi|Aurli1|10289|gm1.10289_g	361.1315	-0.127494	0.12486343	0.1062686	0.3239146
jgi|Aurli1|102895|estExt_Genewise1Plus.C_3_t20259	85.66923	-0.02795571	0.14533108	0.6888968	0.8452551
jgi|Aurli1|10290|gm1.10290_g	26.5527	-0.09914197	0.12259405	0.1979796	0.4505053
jgi|Aurli1|102913|estExt_Genewise1Plus.C_3_t20277	1372.848	0.0752812	0.12268766	0.3193669	0.5815831
jgi|Aurli1|10294|gm1.10294_g	304.1405	0.017695	0.16645249	0.7895183	0.9017843
jgi|Aurli1|102949|estExt_Genewise1Plus.C_3_t20337	201.463	0.07291908	0.09784478	0.3154832	0.577428
jgi|Aurli1|103007|estExt_Genewise1Plus.C_4_t10065	1597.412	-0.06892885	0.10950102	0.3559501	0.6136565
jgi|Aurli1|10303|gm1.10303_g	38.19457	-0.9344463	0.59308572	0.0007427324	0.01883791
jgi|Aurli1|103031|estExt_Genewise1Plus.C_4_t10095	85.25789	0.06374012	0.10384411	0.3876038	0.6413121
jgi|Aurli1|103046|estExt_Genewise1Plus.C_4_t10111	5091.628	-0.08744523	0.09889974	0.2316944	0.4891974
jgi|Aurli1|10307|gm1.10307_g	116.9566	0.002874084	0.09130606	0.9674417	0.9854866
jgi|Aurli1|10308|gm1.10308_g	190.4195	-0.04572419	0.08409821	0.5003203	0.7272119
jgi|Aurli1|10309|gm1.10309_g	14.93904	-0.1011786	0.28821794	0.193899	0.446356
jgi|Aurli1|10310|gm1.10310_g	24.69931	0.02042583	0.13474828	0.7743742	0.8944838
