gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
jgi|Aurli1|103626|estExt_Genewise1Plus.C_5_t10153	14.2831	-0.1962539	0.32086965	0.463494	0.5724674
jgi|Aurli1|10364|gm1.10364_g	3187.018	-0.05977774	0.15739333	0.6917601	0.7748926
jgi|Aurli1|10365|gm1.10365_g	80.12822	-1.797733	0.21130459	4.930071e-19	2.065338e-17
jgi|Aurli1|103650|estExt_Genewise1Plus.C_5_t10187	31.21179	-0.2282331	0.43063596	0.4662731	0.5752292
jgi|Aurli1|1037|gm1.1037_g	1129.636	-1.880319	0.31602013	8.710537e-11	1.169025e-09
jgi|Aurli1|10371|gm1.10371_g	0.7913091	0.4659502	0.83351955	0.2638532	0.3698084
jgi|Aurli1|10377|gm1.10377_g	256.5429	-0.1728465	0.24581483	0.4342845	0.5442778
jgi|Aurli1|10378|gm1.10378_g	311.3811	-0.4088796	0.13728136	0.002050925	0.006078181
jgi|Aurli1|10382|gm1.10382_g	119.7966	-0.9955492	0.26272682	1.639334e-05	8.191147e-05
jgi|Aurli1|10385|gm1.10385_g	425.7778	0.3135077	0.27610387	0.193809	0.2897951
jgi|Aurli1|10386|gm1.10386_g	1.018367	-0.2036157	0.71844979	0.5862539	0.684309
jgi|Aurli1|10387|gm1.10387_g	51.41567	-0.5911367	1.07102828	0.21057	0.3093366
jgi|Aurli1|10391|gm1.10391_g	101.7781	-0.5028663	0.22646441	0.01475012	0.03372561
jgi|Aurli1|10398|gm1.10398_g	336.6082	-0.2631667	0.22260776	0.1968891	0.2935127
jgi|Aurli1|103990|estExt_Genewise1Plus.C_5_t20151	108.8141	-2.899038	0.61226488	3.142683e-07	2.24802e-06
jgi|Aurli1|103997|estExt_Genewise1Plus.C_5_t20158	4619.12	0.005385574	0.14016725	0.9682921	0.9796542
jgi|Aurli1|104016|estExt_Genewise1Plus.C_5_t20224	3426.953	3.133654	0.33031426	8.358807e-22	4.86537e-20
jgi|Aurli1|10402|gm1.10402_g	1350.838	-1.244089	0.36347277	2.921617e-05	0.0001367664
jgi|Aurli1|10404|gm1.10404_g	489.0942	-0.3154602	0.22412643	0.1237926	0.2011443
jgi|Aurli1|10405|gm1.10405_g	173.7487	0.07796175	0.19374508	0.6675135	0.755114
jgi|Aurli1|10406|gm1.10406_g	2142.628	0.4435907	0.3679064	0.1282384	0.2070523
jgi|Aurli1|104123|estExt_Genewise1Plus.C_6_t10039	98.06837	-0.3161305	0.31310713	0.230247	0.3309995
jgi|Aurli1|104130|estExt_Genewise1Plus.C_6_t10049	539.5393	0.06961674	0.26170687	0.76423	0.832002
jgi|Aurli1|104178|estExt_Genewise1Plus.C_6_t10112	484.4322	0.9624968	0.18372212	2.02559e-08	1.792333e-07
jgi|Aurli1|10418|gm1.10418_g	27.03448	-1.467864	0.60416255	0.0006620381	0.002215758
jgi|Aurli1|10419|gm1.10419_g	484.1123	0.06472611	0.19842334	0.7268345	0.8016099
jgi|Aurli1|104211|estExt_Genewise1Plus.C_6_t10165	292.4052	0.05248762	0.19476993	0.7734502	0.8388376
jgi|Aurli1|10423|gm1.10423_g	107.0703	-0.8225014	0.773946	0.06069009	0.1118055
jgi|Aurli1|10424|gm1.10424_g	10.27037	-0.620745	0.59690404	0.09807997	0.1656609
jgi|Aurli1|10430|gm1.10430_g	4.224899	-3.587486	1.28709225	0.000180407	0.0006967279
jgi|Aurli1|10437|gm1.10437_g	27.69272	-0.6807351	0.95255046	0.1427489	0.2264135
jgi|Aurli1|10444|gm1.10444_g	107.2784	-0.0533252	0.25677719	0.8156957	0.8715251
jgi|Aurli1|104459|estExt_Genewise1Plus.C_6_t10490	34.64874	-0.3019209	0.51128431	0.3700518	0.4814765
jgi|Aurli1|104466|estExt_Genewise1Plus.C_6_t20005	148.1043	0.3765143	0.20343249	0.0461741	0.0891153
jgi|Aurli1|10448|gm1.10448_g	21.49855	1.504463	0.5235837	0.0001452546	0.0005758153
jgi|Aurli1|104497|estExt_Genewise1Plus.C_6_t20041	104.134	0.1316515	0.19902369	0.4784048	0.5860518
jgi|Aurli1|10451|gm1.10451_g	10.86266	-0.0657955	0.67649776	0.8554064	0.900782
jgi|Aurli1|10453|gm1.10453_g	18.78957	-3.831403	0.75628719	6.5951e-08	5.337996e-07
jgi|Aurli1|104533|estExt_Genewise1Plus.C_6_t20086	261.5531	1.7385	0.64197094	0.0002355079	0.0008808532
jgi|Aurli1|10455|gm1.10455_g	0.4101514	0.06840015	0.83901126	0.8608801	0.9044883
jgi|Aurli1|104577|estExt_Genewise1Plus.C_6_t20149	531.1248	0.6018209	0.26217074	0.009277384	0.02265123
jgi|Aurli1|10459|gm1.10459_g	390.3881	0.2630909	0.18855682	0.1373034	0.2192302
jgi|Aurli1|1046|gm1.1046_g	1.893486	-0.2812898	0.6424867	0.4392513	0.5493882
jgi|Aurli1|10460|gm1.10460_g	152.079	-0.06754165	0.16757221	0.6721539	0.7591229
jgi|Aurli1|10461|gm1.10461_g	0.9469904	-0.2346773	0.99367615	0.5738316	0.6730936
jgi|Aurli1|10465|gm1.10465_g	3.331585	0.236578	0.60035736	0.5024452	0.6078197
jgi|Aurli1|104678|estExt_Genewise1Plus.C_6_t20298	526.2064	-0.4551899	0.19642042	0.01289845	0.03008084
jgi|Aurli1|10468|gm1.10468_g	78.15999	0.08134038	0.22445749	0.6923202	0.7754396
jgi|Aurli1|104715|estExt_Genewise1Plus.C_6_t20348	153.5355	0.2894721	0.15062269	0.04539027	0.08783113
jgi|Aurli1|10474|gm1.10474_g	160.7127	-3.40039	0.45173134	1.509737e-14	3.455155e-13
jgi|Aurli1|104773|estExt_Genewise1Plus.C_7_t10061	198.206	-0.1045702	0.44009857	0.7393855	0.8109268
jgi|Aurli1|104785|estExt_Genewise1Plus.C_7_t10077	199.6921	-0.1602641	0.11603172	0.1573525	0.2447187
jgi|Aurli1|10482|gm1.10482_g	180.4139	-2.82276	0.28904432	5.709544e-23	3.938258e-21
jgi|Aurli1|10486|gm1.10486_g	202.7146	0.09433078	0.32076669	0.7244505	0.7998512
jgi|Aurli1|104882|estExt_Genewise1Plus.C_7_t10208	16091.85	0.3103288	0.29759496	0.2228151	0.3228479
jgi|Aurli1|10489|gm1.10489_g	7.089907	-2.489998	1.22090177	0.001562112	0.004759837
jgi|Aurli1|104908|estExt_Genewise1Plus.C_7_t10242	4674.998	0.3320352	0.1837004	0.05486148	0.1026619
jgi|Aurli1|10491|gm1.10491_g	1.083444	-0.7570537	1.19075297	0.1401148	0.2228552
jgi|Aurli1|10493|gm1.10493_g	723.0044	0.5164409	0.31554038	0.05115649	0.09693978
jgi|Aurli1|104965|estExt_Genewise1Plus.C_7_t10320	775.6483	0.004758036	0.17477908	0.9771003	0.9860767
jgi|Aurli1|10503|gm1.10503_g	1.189825	0.4164282	0.97265292	0.3389719	0.4503631
jgi|Aurli1|10504|gm1.10504_g	3.967563	-0.6535728	0.66389622	0.09838856	0.1660902
jgi|Aurli1|105041|estExt_Genewise1Plus.C_7_t10435	80.19432	-0.1909816	0.25267846	0.3977569	0.5087309
jgi|Aurli1|105049|estExt_Genewise1Plus.C_7_t10443	241.4325	1.314175	0.22802241	2.449337e-10	3.039637e-09
jgi|Aurli1|10505|gm1.10505_g	3.475501	-0.7192009	0.71129115	0.08160001	0.1428438
jgi|Aurli1|105065|estExt_Genewise1Plus.C_7_t10466	73754.2	0.8547143	0.23143932	4.262738e-05	0.000192381
