gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
jgi|Aurli1|1028|gm1.1028_g	11.51292	-0.0002616468	0.010604929	0.5266685	0.9996259
jgi|Aurli1|10281|gm1.10281_g	173.8983	0.002248044	0.050148506	0.3643654	0.9996259
jgi|Aurli1|102838|estExt_Genewise1Plus.C_3_t20165	233.7473	0.0002131849	0.006169809	0.4496734	0.9996259
jgi|Aurli1|10284|gm1.10284_g	817.1198	2.923403e-05	0.00688424	0.9187526	0.9996259
jgi|Aurli1|102864|estExt_Genewise1Plus.C_3_t20204	145.0933	-0.0004036702	0.010104781	0.2905518	0.9996259
jgi|Aurli1|102883|estExt_Genewise1Plus.C_3_t20226	2737.902	1.037838e-05	0.00798843	0.9748252	0.9999277
jgi|Aurli1|10289|gm1.10289_g	361.1315	0.000189094	0.008150256	0.5588933	0.9996259
jgi|Aurli1|102895|estExt_Genewise1Plus.C_3_t20259	85.66923	0.0006619174	0.019331753	0.3936544	0.9996259
jgi|Aurli1|10290|gm1.10290_g	26.5527	0.001632329	0.024297879	0.08060083	0.9996259
jgi|Aurli1|102913|estExt_Genewise1Plus.C_3_t20277	1372.848	-0.0002563016	0.009635318	0.4916974	0.9996259
jgi|Aurli1|10294|gm1.10294_g	304.1405	0.005592258	0.069628376	0.0950986	0.9996259
jgi|Aurli1|102949|estExt_Genewise1Plus.C_3_t20337	201.463	0.0006478334	0.011549392	0.1437744	0.9996259
jgi|Aurli1|103007|estExt_Genewise1Plus.C_4_t10065	1597.412	-0.001064344	0.017677815	0.1054682	0.9996259
jgi|Aurli1|10303|gm1.10303_g	38.19457	0.0003563804	0.025376872	0.7782864	0.9996259
jgi|Aurli1|103031|estExt_Genewise1Plus.C_4_t10095	85.25789	0.0001386744	0.006649309	0.6200169	0.9996259
jgi|Aurli1|103046|estExt_Genewise1Plus.C_4_t10111	5091.628	9.988524e-06	0.005757006	0.9690897	0.9996385
jgi|Aurli1|10307|gm1.10307_g	116.9566	1.355246e-05	0.005496269	0.9578265	0.9996385
jgi|Aurli1|10308|gm1.10308_g	190.4195	-0.0003230762	0.006642467	0.2940931	0.9996259
jgi|Aurli1|10309|gm1.10309_g	14.93904	0.002903751	0.060707793	0.3492674	0.9996259
jgi|Aurli1|10310|gm1.10310_g	24.69931	-0.0003392163	0.013266194	0.5194889	0.9996259
jgi|Aurli1|103193|estExt_Genewise1Plus.C_4_t10348	34.49143	0.004468229	0.055369055	0.07681234	0.9996259
jgi|Aurli1|103220|estExt_Genewise1Plus.C_4_t10386	230.1926	0.001051184	0.02259555	0.2246436	0.9996259
jgi|Aurli1|10323|gm1.10323_g	69.96374	0.003905691	0.066585448	0.2362651	0.9996259
jgi|Aurli1|10324|gm1.10324_g	18.17055	-0.0008809123	0.031733571	0.5708663	0.9996259
jgi|Aurli1|10332|gm1.10332_g	65.2682	0.0003540278	0.019969538	0.7004383	0.9996259
jgi|Aurli1|103353|estExt_Genewise1Plus.C_4_t20057	100.1487	0.0003145972	0.014346393	0.5957877	0.9996259
jgi|Aurli1|103368|estExt_Genewise1Plus.C_4_t20081	66.09385	0.0001469738	0.006367049	0.5924909	0.9996259
jgi|Aurli1|103378|estExt_Genewise1Plus.C_4_t20096	128.4286	0.0004459059	0.012406967	0.3345991	0.9996259
jgi|Aurli1|103380|estExt_Genewise1Plus.C_4_t20098	52.05591	-0.0001929401	0.013388499	0.7353781	0.9996259
jgi|Aurli1|10342|gm1.10342_g	1569.843	0.002662302	0.04419667	0.1662011	0.9996259
jgi|Aurli1|10343|gm1.10343_g	67.8987	0.001184458	0.029692118	0.3581531	0.9996259
jgi|Aurli1|10345|gm1.10345_g	260.008	-0.002255469	0.033178876	0.09125114	0.9996259
jgi|Aurli1|103455|estExt_Genewise1Plus.C_4_t20209	371.7427	-0.00131396	0.023017711	0.1291563	0.9996259
jgi|Aurli1|10346|gm1.10346_g	23.0028	0.007418248	0.088884741	0.1016124	0.9996259
jgi|Aurli1|103547|estExt_Genewise1Plus.C_5_t10062	218.0321	0.0003754498	0.013470792	0.4766461	0.9996259
jgi|Aurli1|103583|estExt_Genewise1Plus.C_5_t10103	1166.697	-0.0003066103	0.00680566	0.3147647	0.9996259
jgi|Aurli1|10361|gm1.10361_g	92.35452	0.008588184	0.104095958	0.1166077	0.9996259
jgi|Aurli1|103626|estExt_Genewise1Plus.C_5_t10153	14.2831	0.0004989018	0.015802388	0.4204216	0.9996259
jgi|Aurli1|10364|gm1.10364_g	3187.018	-0.0001410369	0.005739904	0.5989638	0.9996259
jgi|Aurli1|10365|gm1.10365_g	80.12822	-0.0008799581	0.014727509	0.1109506	0.9996259
jgi|Aurli1|103650|estExt_Genewise1Plus.C_5_t10187	31.21179	-0.0001628553	0.018958343	0.855916	0.9996259
