gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
jgi|Aurli1|10253|gm1.10253_g	347.9187	1.520056	0.16476976	2.28603e-21	3.250415e-20
jgi|Aurli1|102543|estExt_Genewise1Plus.C_3_t10262	1368.584	-0.5448809	0.16995295	0.001034849	0.002168547
jgi|Aurli1|102562|estExt_Genewise1Plus.C_3_t10292	746.1011	-0.4848731	0.16804196	0.003171562	0.00611311
jgi|Aurli1|1026|gm1.1026_g	92.78665	-0.3490548	0.15721186	0.02361346	0.03831408
jgi|Aurli1|10260|gm1.10260_g	43.9479	1.715874	0.37015275	1.965756e-07	7.118966e-07
jgi|Aurli1|102623|estExt_Genewise1Plus.C_3_t10370	216.1311	1.216423	0.24893362	2.212173e-07	7.945394e-07
jgi|Aurli1|10263|gm1.10263_g	306.6912	0.4423455	0.14339854	0.00171902	0.003465145
jgi|Aurli1|10264|gm1.10264_g	941.0687	-0.1063927	0.19382231	0.572059	0.6391649
jgi|Aurli1|10268|gm1.10268_g	18.17934	-2.165301	0.88602202	0.0006741407	0.001464193
jgi|Aurli1|102684|estExt_Genewise1Plus.C_3_t10448	658.2433	3.301812	0.23660018	4.226211e-45	2.773217e-43
jgi|Aurli1|1027|gm1.1027_g	242.1313	0.9475283	0.10774755	6.370755e-19	7.498278e-18
jgi|Aurli1|102706|estExt_Genewise1Plus.C_3_t10494	576.9384	0.584359	0.08179208	6.828225e-13	4.516618e-12
jgi|Aurli1|10274|gm1.10274_g	15.19787	-1.704844	0.64311608	0.0005946949	0.001303477
jgi|Aurli1|102757|estExt_Genewise1Plus.C_3_t20053	177.3834	0.1662132	0.13003138	0.1953495	0.2543489
jgi|Aurli1|102789|estExt_Genewise1Plus.C_3_t20098	2283.159	0.7258336	0.17416738	1.923163e-05	5.305154e-05
jgi|Aurli1|1028|gm1.1028_g	11.51292	0.231454	0.22479082	0.2842355	0.3526195
jgi|Aurli1|10281|gm1.10281_g	173.8983	-0.4147844	0.54702946	0.3356325	0.4073183
jgi|Aurli1|102838|estExt_Genewise1Plus.C_3_t20165	233.7473	0.1437812	0.12466129	0.2431435	0.3076636
jgi|Aurli1|10284|gm1.10284_g	817.1198	1.495224	0.18384655	3.713766e-17	3.713766e-16
jgi|Aurli1|102864|estExt_Genewise1Plus.C_3_t20204	145.0933	-0.4270495	0.17018802	0.01025857	0.01793828
jgi|Aurli1|102883|estExt_Genewise1Plus.C_3_t20226	2737.902	0.004596295	0.20961714	0.981904	0.985826
jgi|Aurli1|10289|gm1.10289_g	361.1315	0.5661786	0.18555109	0.001708078	0.003444492
jgi|Aurli1|102895|estExt_Genewise1Plus.C_3_t20259	85.66923	-0.1185212	0.30570198	0.6765738	0.7336641
jgi|Aurli1|10290|gm1.10290_g	26.5527	-0.1080226	0.19033833	0.5595094	0.6272224
jgi|Aurli1|102913|estExt_Genewise1Plus.C_3_t20277	1372.848	-1.569713	0.21156235	8.27607e-15	6.573868e-14
jgi|Aurli1|10294|gm1.10294_g	304.1405	2.444559	0.47791093	1.178027e-08	4.932283e-08
jgi|Aurli1|102949|estExt_Genewise1Plus.C_3_t20337	201.463	-1.153517	0.14247048	1.507192e-16	1.412874e-15
jgi|Aurli1|103007|estExt_Genewise1Plus.C_4_t10065	1597.412	0.1138848	0.16960968	0.4924336	0.5639656
jgi|Aurli1|10303|gm1.10303_g	38.19457	0.2639914	0.45617618	0.4940385	0.5655493
jgi|Aurli1|103031|estExt_Genewise1Plus.C_4_t10095	85.25789	0.5082002	0.15647365	0.0009279215	0.001962504
jgi|Aurli1|103046|estExt_Genewise1Plus.C_4_t10111	5091.628	1.512395	0.14421824	8.176139e-27	1.744635e-25
jgi|Aurli1|10307|gm1.10307_g	116.9566	-0.5901228	0.13005393	4.23289e-06	1.281097e-05
jgi|Aurli1|10308|gm1.10308_g	190.4195	-1.239289	0.11435968	4.80546e-28	1.115258e-26
jgi|Aurli1|10309|gm1.10309_g	14.93904	-2.049222	0.83677865	0.0007350948	0.001584744
jgi|Aurli1|10310|gm1.10310_g	24.69931	-0.4142757	0.26557131	0.09904626	0.1392545
jgi|Aurli1|103193|estExt_Genewise1Plus.C_4_t10348	34.49143	-0.6973671	0.33018226	0.02088016	0.03422537
jgi|Aurli1|103220|estExt_Genewise1Plus.C_4_t10386	230.1926	-0.4373926	0.27329529	0.0894671	0.1271609
jgi|Aurli1|10323|gm1.10323_g	69.96374	0.8799602	0.60951076	0.05662417	0.08459967
jgi|Aurli1|10324|gm1.10324_g	18.17055	-2.866066	0.593964	6.684298e-08	2.566092e-07
jgi|Aurli1|10332|gm1.10332_g	65.2682	-0.1127538	0.38291722	0.7407946	0.7904154
jgi|Aurli1|103353|estExt_Genewise1Plus.C_4_t20057	100.1487	0.5748042	0.29641013	0.03734729	0.05813586
jgi|Aurli1|103368|estExt_Genewise1Plus.C_4_t20081	66.09385	0.8414627	0.14714453	5.686413e-09	2.486862e-08
jgi|Aurli1|103378|estExt_Genewise1Plus.C_4_t20096	128.4286	-0.5320404	0.2106469	0.008872923	0.01569857
jgi|Aurli1|103380|estExt_Genewise1Plus.C_4_t20098	52.05591	1.824195	0.3310652	1.508597e-09	7.037588e-09
jgi|Aurli1|10342|gm1.10342_g	1569.843	1.703214	0.42964077	4.471391e-06	1.350168e-05
jgi|Aurli1|10343|gm1.10343_g	67.8987	0.8026362	0.40470746	0.02323431	0.03773571
jgi|Aurli1|10345|gm1.10345_g	260.008	3.088654	0.2562286	2.333193e-34	7.775562e-33
jgi|Aurli1|103455|estExt_Genewise1Plus.C_4_t20209	371.7427	-2.266594	0.23252789	6.564196e-24	1.116365e-22
jgi|Aurli1|10346|gm1.10346_g	23.0028	1.722636	0.61429974	0.0003531115	0.0008032894
jgi|Aurli1|103547|estExt_Genewise1Plus.C_5_t10062	218.0321	-0.8006977	0.26313108	0.001256549	0.002591741
jgi|Aurli1|103583|estExt_Genewise1Plus.C_5_t10103	1166.697	0.588789	0.12079947	8.158191e-07	2.723069e-06
jgi|Aurli1|10361|gm1.10361_g	92.35452	0.3961756	0.57984271	0.3720608	0.4446858
jgi|Aurli1|103626|estExt_Genewise1Plus.C_5_t10153	14.2831	-1.032782	0.28928709	0.0001206373	0.0002957109
jgi|Aurli1|10364|gm1.10364_g	3187.018	-0.3527686	0.1245667	0.004153562	0.007827847
jgi|Aurli1|10365|gm1.10365_g	80.12822	-1.915994	0.15470161	9.393653e-37	3.67567e-35
jgi|Aurli1|103650|estExt_Genewise1Plus.C_5_t10187	31.21179	-0.1952495	0.3878598	0.5704564	0.6377586
jgi|Aurli1|1037|gm1.1037_g	1129.636	0.7170296	0.22230982	0.0007792554	0.001670718
jgi|Aurli1|10371|gm1.10371_g	0.7913091	0.1172262	0.70916769	0.8055741	0.8453027
jgi|Aurli1|10377|gm1.10377_g	256.5429	-0.7695156	0.20382735	9.261685e-05	0.0002307253
jgi|Aurli1|10378|gm1.10378_g	311.3811	-0.5516514	0.10639817	1.679065e-07	6.119571e-07
jgi|Aurli1|10382|gm1.10382_g	119.7966	0.3379647	0.18689221	0.06313813	0.09326081
jgi|Aurli1|10385|gm1.10385_g	425.7778	0.7964897	0.23006933	0.0002945927	0.0006797589
jgi|Aurli1|10386|gm1.10386_g	1.018367	0.384899	0.66520623	0.4141365	0.4873161
jgi|Aurli1|10387|gm1.10387_g	51.41567	0.04946263	0.78572676	0.9191166	0.937243
jgi|Aurli1|10391|gm1.10391_g	101.7781	-0.8082648	0.1792758	3.603401e-06	1.100915e-05
jgi|Aurli1|10398|gm1.10398_g	336.6082	-0.916964	0.18234492	2.250218e-07	8.074216e-07
jgi|Aurli1|103990|estExt_Genewise1Plus.C_5_t20151	108.8141	1.118509	0.42264406	0.002110842	0.004192772
jgi|Aurli1|103997|estExt_Genewise1Plus.C_5_t20158	4619.12	-0.3772663	0.11025566	0.0005519073	0.001215803
jgi|Aurli1|104016|estExt_Genewise1Plus.C_5_t20224	3426.953	0.25673	0.24461767	0.2714841	0.3388981
jgi|Aurli1|10402|gm1.10402_g	1350.838	-1.364954	0.26241073	2.727735e-08	1.097458e-07
jgi|Aurli1|10404|gm1.10404_g	489.0942	-0.6704026	0.1814402	0.0001471415	0.000355161
jgi|Aurli1|10405|gm1.10405_g	173.7487	-0.2585555	0.15620284	0.09165789	0.1299261
jgi|Aurli1|10406|gm1.10406_g	2142.628	2.137318	0.33979593	1.020482e-11	5.981716e-11
jgi|Aurli1|104123|estExt_Genewise1Plus.C_6_t10039	98.06837	-0.4488264	0.26249309	0.07091617	0.1032483
jgi|Aurli1|104130|estExt_Genewise1Plus.C_6_t10049	539.5393	0.3488599	0.21803188	0.09677889	0.1363899
jgi|Aurli1|104178|estExt_Genewise1Plus.C_6_t10112	484.4322	1.629207	0.14084404	3.348373e-32	9.794156e-31
jgi|Aurli1|10418|gm1.10418_g	27.03448	-0.3626699	0.35626192	0.2600461	0.3262401
jgi|Aurli1|10419|gm1.10419_g	484.1123	-0.08161184	0.159517	0.6018864	0.6656705
jgi|Aurli1|104211|estExt_Genewise1Plus.C_6_t10165	292.4052	-0.5959359	0.15753232	0.0001137046	0.0002799202
jgi|Aurli1|10423|gm1.10423_g	107.0703	-0.09080872	0.52596014	0.829054	0.8646182
jgi|Aurli1|10424|gm1.10424_g	10.27037	-1.050093	0.50165613	0.01057647	0.01843981
jgi|Aurli1|10430|gm1.10430_g	4.224899	-3.095642	0.88680344	1.622865e-05	4.526442e-05
jgi|Aurli1|10437|gm1.10437_g	27.69272	-2.380636	1.05530154	0.0009585553	0.002021527
jgi|Aurli1|10444|gm1.10444_g	107.2784	0.05699214	0.21089662	0.7797373	0.8239635
jgi|Aurli1|104459|estExt_Genewise1Plus.C_6_t10490	34.64874	1.422401	0.53197483	0.0009408233	0.001986957
jgi|Aurli1|104466|estExt_Genewise1Plus.C_6_t20005	148.1043	0.2601425	0.16248938	0.1022672	0.1432397
jgi|Aurli1|10448|gm1.10448_g	21.49855	2.360205	0.36895104	5.830221e-12	3.511868e-11
jgi|Aurli1|104497|estExt_Genewise1Plus.C_6_t20041	104.134	0.8653124	0.15795625	2.175357e-08	8.862787e-08
jgi|Aurli1|10451|gm1.10451_g	10.86266	-0.2580981	0.67168856	0.5832071	0.6492727
jgi|Aurli1|10453|gm1.10453_g	18.78957	-3.917148	0.58089385	1.289991e-12	8.332131e-12
jgi|Aurli1|104533|estExt_Genewise1Plus.C_6_t20086	261.5531	2.302562	0.44824462	9.735118e-09	4.114329e-08
jgi|Aurli1|10455|gm1.10455_g	0.4101514	0.1045761	0.82133962	0.8314781	0.8665978
jgi|Aurli1|104577|estExt_Genewise1Plus.C_6_t20149	531.1248	-0.3108199	0.20724336	0.1209475	0.1662657
jgi|Aurli1|10459|gm1.10459_g	390.3881	0.7987641	0.15051948	6.323162e-08	2.435649e-07
jgi|Aurli1|1046|gm1.1046_g	1.893486	0.4672411	0.58595676	0.2957668	0.3646979
