Sample	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	DupRadar_mqc-generalstats-dupradar-dupRadar_intercept	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	QualiMap_mqc-generalstats-qualimap-5_3_bias	QualiMap_mqc-generalstats-qualimap-reads_aligned	RSeQC_mqc-generalstats-rseqc-proper_pairs_percent	Samtools_mqc-generalstats-samtools-error_rate	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-reads_mapped_percent	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	Samtools_mqc-generalstats-samtools-raw_total_sequences	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_duplicates	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_gc	FastQC (raw)_mqc-generalstats-fastqc_raw-avg_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_fails	FastQC (raw)_mqc-generalstats-fastqc_raw-total_sequences	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_duplicates	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_gc	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-avg_sequence_length	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_fails	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-total_sequences
3270R1D3_1																	69.24632203664615	56.0	150.0	45.45454545454545	30600495.0	25.697633126522952	60.226393590706785	51.0	138.39594850743325	18.181818181818183	24559739.0
3270R1D3_2																	64.51574043355895	59.0	150.0	45.45454545454545	30600495.0	6.234121092921318	58.919450654383134	51.0	138.37225293803	18.181818181818183	24559739.0
3270R1D4	46156795	46156795	0.264646138893564	0.378991	0.94	21361642.0	56.506423377099736	0.0022977	3418487.0	42738308.0	100.0	99.96484652597853	0.6502386570848804	42738308.0	92.29	20850105.0											
3270R1D4_1																	72.28956917817253	58.0	150.0	45.45454545454545	30636245.0	30.246152686140228	60.79326899793579	51.0	141.37565815897585	18.181818181818183	22592186.0
3270R1D4_2																	66.75763944885082	62.0	150.0	45.45454545454545	30636245.0	4.321686442534543	58.6301170604319	51.0	141.33468142480768	18.181818181818183	22592186.0
3270R3D3	30564596	30564596	0.211335026046741	0.339829	0.81	14054490.0	59.6361031567373	0.002077787	2449356.0	28115240.0	100.0	99.9777344955974	0.7360847711063466	28115240.0	61.62	13707709.0											
3270R3D3_1																	51.0105284414721	57.0	150.0	45.45454545454545	26187474.0	38.45631930746738	41.104540200635476	50.0	108.70616617100445	9.090909090909092	22244988.0
3270R3D3_2																	46.81822197455383	58.0	150.0	36.36363636363637	26187474.0	23.597718003144045	40.47414834632441	50.0	108.73316061128017	9.090909090909092	22244988.0
3270R3D4	28773705	28773705	0.242961315153845	0.343101	0.94	13292963.0	59.61133611399714	0.002375968	2182500.0	26591205.0	100.0	99.98014757134925	0.6892579708215555	26591205.0	70.94	12980630.0											
3270R3D4_1																	68.89573662326315	61.0	150.0	45.45454545454545	29079172.0	48.2185352457766	47.72809896628544	50.0	123.25148681769286	9.090909090909092	18297973.0
3270R3D4_2																	61.486897689466666	66.0	150.0	45.45454545454545	29079172.0	11.44514772749834	46.344129577733504	51.0	123.23684721799513	9.090909090909092	18297973.0
3270R4D3	23346033	23346033	0.104597252228045	0.216289	0.98	10916320.0	72.10127733478318	0.002172896	1508226.0	21837807.0	100.0	99.97633919926116	0.5986132215565418	21837807.0	90.37	10694085.0											
3270R4D3_1																	76.43570188581417	63.0	150.0	45.45454545454545	23031876.0	52.472233583288364	50.24156221290686	51.0	138.30240249584145	18.181818181818183	11833444.0
3270R4D3_2																	67.69386588305557	70.0	150.0	45.45454545454545	23031876.0	4.199312842196036	48.71841456668179	51.0	138.26880407766328	9.090909090909092	11833444.0
3270R4D4	21492655	21492655	0.112518092466537	0.221909	0.96	10061659.0	71.67480239179385	0.002286447	1365685.0	20126970.0	100.0	99.98185519231161	0.5501970738764951	20126970.0	91.43	9850292.0											
3270R4D4_1																	76.60452667102462	64.0	150.0	45.45454545454545	21853082.0	53.61628561133849	48.750437290609916	51.0	140.6784126002846	9.090909090909092	10773090.0
3270R4D4_2																	68.8290879443976	71.0	150.0	45.45454545454545	21853082.0	3.336902318858274	46.86937986637341	51.0	140.6525232779082	18.181818181818183	10773090.0
32G0R1D3	53372237	53372237	0.0872862817339211	0.270402	0.79	25237118.0	68.07312573389045	0.002274882	2889431.0	50482806.0	100.0	99.9830239230363	0.4853969488146122	50482806.0	86.57	24796168.0											
32G0R1D3_1																	68.76401811147367	54.0	150.0	45.45454545454545	32298318.0	18.02925648739149	63.918451077486026	51.0	138.2427561798348	18.181818181818183	28642311.0
32G0R1D3_2																	64.85188996024357	55.0	150.0	45.45454545454545	32298318.0	6.840661258789596	62.10811067082574	51.0	138.2114356275232	18.181818181818183	28642311.0
32G0R1D4	7910986	7910986	0.190053863430087	0.469942	1.0	2570692.0	32.850974581423856	0.003523089	2768729.0	5142257.0	100.0	99.98302301888063	5.538268507388876	5142257.0	38.54	2313665.0											
32G0R1D4_1																	92.38266642311763	68.0	150.0	45.45454545454545	18149514.0	72.11038183538506	75.62088202187	49.0	126.09572787406066	27.27272727272727	6003779.0
32G0R1D4_2																	84.26601232460769	78.0	150.0	45.45454545454545	18149514.0	5.752339888182865	74.511587552016	50.0	126.02358980901862	36.36363636363637	6003779.0
32G0R3D3	66123353	66123353	0.0772555950652509	0.248743	1.14	31286217.0	70.14435883189408	0.002221016	3537003.0	62586350.0	100.0	99.97776511971061	0.4689473024069945	62586350.0	91.2	30739032.0											
32G0R3D3_1																	66.06813050975552	51.0	150.0	36.36363636363637	34295787.0	8.391244596117108	64.90310889861183	51.0	139.3696397307564	18.181818181818183	33703904.0
32G0R3D3_2																	63.79442095747725	52.0	150.0	27.27272727272727	34295787.0	6.824239665355981	63.07017501330929	51.0	139.3325385391556	18.181818181818183	33703904.0
32G0R3D4	56648464	56648464	0.093897852836318	0.267099	0.91	26825477.0	68.52337955712268	0.002321467	2982645.0	53665819.0	100.0	99.97230080472637	0.4680372063268055	53665819.0	88.82	26377629.0											
32G0R3D4_1																	66.04363895931847	51.0	150.0	27.27272727272727	30752526.0	9.606046649089357	64.25774519811371	51.0	139.9396228427926	18.181818181818183	29696264.0
32G0R3D4_2																	63.41733605660003	52.0	150.0	36.36363636363637	30752526.0	6.355999026985079	62.30942562649096	51.0	139.90621897757913	18.181818181818183	29696264.0
32G0R4D3	48202340	48202340	0.0637397649423265	0.246617	1.05	22646364.0	69.82896266031898	0.002186395	2901901.0	45300439.0	100.0	99.98297808990327	0.5520719125922819	45300439.0	85.99	22202834.0											
32G0R4D3_1																	65.60264197417706	52.0	150.0	27.27272727272727	27308786.0	12.75966267168864	62.99594265878363	51.0	138.00655801079958	18.181818181818183	25820787.0
32G0R4D3_2																	63.17893442530945	53.0	150.0	45.45454545454545	27308786.0	7.424597661231322	61.79948771145283	51.0	137.99605484526865	18.181818181818183	25820787.0
32G0R4D4	38529835	38529835	0.0850270932674393	0.237764	0.82	18261852.0	71.35160064921119	0.002376905	2000328.0	36529507.0	100.0	99.98411421210804	0.4693329148953475	36529507.0	86.85	17955855.0											
32G0R4D4_1																	68.92069809361803	55.0	150.0	45.45454545454545	25012610.0	21.68219539397661	61.30249694848259	50.0	141.68774837156673	18.181818181818183	20674166.0
32G0R4D4_2																	64.56456931925833	57.0	150.0	45.45454545454545	25012610.0	4.466590358489844	59.60957338629982	50.0	141.66567652595998	18.181818181818183	20674166.0
WT7005R1D3	53207582	53207582	0.0834645809140253	0.282885	0.95	24286207.0	64.437831435377	0.002306388	4621119.0	48586463.0	100.0	99.97108453850613	0.8353252633351803	48586463.0	91.03	23679558.0											
WT7005R1D3_1																	66.6788322429868	52.0	150.0	27.27272727272727	27336253.0	11.234453017390496	64.39377251279535	51.0	139.45813917307422	18.181818181818183	26012661.0
WT7005R1D3_2																	64.2949078792534	53.0	150.0	45.45454545454545	27336253.0	6.585863566110055	62.87729138225054	51.0	139.4155969664157	18.181818181818183	26012661.0
WT7005R1D4	38173609	38173609	0.153768672854542	0.316345	0.89	17565462.0	61.868873859948636	0.002353472	3032234.0	35141375.0	100.0	99.97026012784076	0.7534224258441794	35141375.0	88.28	17161494.0											
WT7005R1D4_1																	82.15540735550583	64.0	150.0	45.45454545454545	39597747.0	54.838520602363225	60.26833832043735	51.0	137.51493722670332	18.181818181818183	19439954.0
WT7005R1D4_2																	77.08355958303511	72.0	150.0	45.45454545454545	39597747.0	4.23482356205771	58.40496105546835	51.0	137.43608451954157	27.27272727272727	19439954.0
WT7005R3D3	73775212	73775212	0.0871260405667018	0.299122	1.01	34424267.0	64.54343499548331	0.002378593	4906824.0	68868388.0	100.0	99.97117109812415	0.5922223705889559	68868388.0	91.56	33746198.0											
WT7005R3D3_1																	69.71158521846758	53.0	150.0	27.27272727272727	38080974.0	7.892318755642472	68.3336262388699	52.0	142.25586349860492	18.181818181818183	36858583.0
WT7005R3D3_2																	66.60441563694	53.0	150.0	36.36363636363637	38080974.0	4.849439355201366	65.64245822273088	52.0	142.2069043185952	18.181818181818183	36858583.0
WT7005R3D4	72708276	72708276	0.111596473547594	0.298872	1.07	34275126.0	65.24707036101364	0.002428508	4140544.0	68567732.0	100.0	99.97450695904598	0.4955348384572498	68567732.0	91.33	33659438.0											
WT7005R3D4_1																	67.0976083755484	52.0	150.0	18.181818181818183	37436132.0	6.896751298985697	66.30174768637838	51.0	141.3906356642621	18.181818181818183	36856453.0
WT7005R3D4_2																	64.16618788591315	52.0	150.0	27.27272727272727	37436132.0	5.474083202114293	63.87163161258638	51.0	141.37597625034618	18.181818181818183	36856453.0
WT7005R4D3	11122604	11122604	0.114317942333715	0.266472	0.59	4883030.0	62.75303876682115	0.002597364	1353294.0	9769310.0	100.0	99.96673255327141	1.2195743609323484	9769310.0	82.33	4715514.0											
WT7005R4D3_1																	88.39321182161832	69.0	150.0	36.36363636363637	20925838.0	75.01290372855478	53.89402411073256	51.0	136.46645639113484	18.181818181818183	5727723.0
WT7005R4D3_2																	79.36414047281025	80.0	150.0	54.54545454545454	20925838.0	2.946263275095602	51.76900248492384	52.0	136.3839021195683	36.36363636363637	5727723.0
WT7005R4D4	42442305	42442305	0.0830172001794951	0.277901	1.02	17925192.0	59.69875104568425	0.002257203	6581724.0	35860581.0	100.0	99.97156487788081	1.7058228922727157	35860581.0	89.93	17116000.0											
WT7005R4D4_1																	69.76491066066467	56.0	150.0	45.45454545454545	23916546.0	25.76774681427661	60.53414275811081	51.0	139.461524327854	18.181818181818183	19032546.0
WT7005R4D4_2																	65.93648911036402	60.0	150.0	45.45454545454545	23916546.0	5.597388017483795	58.77330979865716	52.0	139.41962347023883	18.181818181818183	19032546.0
WT701R1D4	54018200	54018200	0.161705906477176	0.378925	0.68	24889028.0	56.274514885723704	0.002517684	4228502.0	49789698.0	100.0	99.97661765291286	0.7212656722681868	49789698.0	76.85	24291161.0											
WT701R1D4_1																	60.85837748336289	53.0	150.0	27.27272727272727	33527769.0	21.85172591312791	57.79814412628067	50.0	124.12458998749803	18.181818181818183	31609402.0
WT701R1D4_2																	58.39400044155646	53.0	150.0	45.45454545454545	33527769.0	16.299359912674177	56.62643083822973	50.0	124.09496434004035	18.181818181818183	31609402.0
WT701R3D4	47967264	47967264	0.0996788108539456	0.260552	1.32	22861678.0	69.62460898332662	0.002366845	2230519.0	45736745.0	100.0	99.97072594475186	0.39264928013569833	45736745.0	91.43	22518783.0											
WT701R3D4_1																	62.813940375065016	53.0	150.0	27.27272727272727	26000842.0	12.112441768872973	60.06347253498183	52.0	138.71745277931979	18.181818181818183	24628616.0
WT701R3D4_2																	59.51008152339522	54.0	150.0	36.36363636363637	26000842.0	7.060677368320098	57.98626366008324	52.0	138.69222700130612	18.181818181818183	24628616.0
WT701R4D4	26675205	26675205	0.177546082631237	0.319048	0.7	12240314.0	61.336143433574364	0.002686059	2187854.0	24487351.0	100.0	99.97254500905386	0.7614461850120089	24487351.0	64.01	11941645.0											
WT701R4D4_1																	69.35704804793117	61.0	150.0	45.45454545454545	28734127.0	47.26193384379951	50.30835365588486	50.0	121.64844305134953	18.181818181818183	18656781.0
WT701R4D4_2																	61.35374011421891	65.0	150.0	45.45454545454545	28734127.0	12.618941558006386	48.60050764306095	50.0	121.60398141565793	9.090909090909092	18656781.0
WT70R1D3	59610011	59610011	0.127798346261655	0.304394	1.01	26875562.0	61.65510353621643	0.002134729	5836065.0	53773946.0	100.0	99.95755937271184	0.9345380753720399	53773946.0	89.8	26063994.0											
WT70R1D3_1																	64.96968511783831	52.0	150.0	27.27272727272727	30018450.0	10.061521963992146	63.21485204853088	51.0	139.03209804856647	18.181818181818183	29025534.0
WT70R1D3_2																	62.645321493695135	53.0	150.0	36.36363636363637	30018450.0	6.999976969719178	61.403267725750815	51.0	138.99519591956516	18.181818181818183	29025534.0
WT70R1D4	51543458	51543458	0.215036425082677	0.348102	0.92	24104413.0	60.027272520210026	0.00217958	3317010.0	48226448.0	100.0	99.96345988408683	0.5728433493588415	48226448.0	92.69	23613964.0											
WT70R1D4_1																	66.88722408677933	54.0	150.0	45.45454545454545	29379697.0	19.769654397729152	60.61574112136726	51.0	138.31045609250518	18.181818181818183	25476630.0
WT70R1D4_2																	62.470253127701234	56.0	150.0	45.45454545454545	29379697.0	6.8341579560878385	59.01521161677556	51.0	138.2934633034275	18.181818181818183	25476630.0
WT70R3D3	57721262	57721262	0.183093523591881	0.332011	0.99	26769567.0	61.01172909213246	0.002163286	4162995.0	53558267.0	100.0	99.96427628997033	0.6610445405188334	53558267.0	92.81	26174797.0											
WT70R3D3_1																	64.07507268002257	52.0	150.0	27.27272727272727	30383644.0	14.734292722316871	60.39649951098496	51.0	137.32961931491457	18.181818181818183	28201709.0
WT70R3D3_2																	61.24849085063113	53.0	150.0	36.36363636363637	30383644.0	7.835631697106509	58.85023859806448	51.0	137.29024989230263	18.181818181818183	28201709.0
WT70R3D4	65385615	65385615	0.321561875406374	0.416053	1.07	30218364.0	53.108638650871455	0.002190708	4930896.0	60454719.0	100.0	99.97024053655763	0.696628827271532	60454719.0	92.24	29509990.0											
WT70R3D4_1																	74.87908966991627	58.0	150.0	45.45454545454545	43918730.0	32.45780587614138	63.78470120280972	51.0	138.60008539643988	18.181818181818183	31994308.0
WT70R3D4_2																	70.66631209513923	62.0	150.0	45.45454545454545	43918730.0	5.598248674312759	61.83329518552742	51.0	138.54144846639596	18.181818181818183	31994308.0
WT70R4D3	25060825	25060825	0.121503550473737	0.246101	1.07	11299698.0	66.67675146368884	0.00231655	2455812.0	22605013.0	100.0	99.97515152944172	0.965458414025243	22605013.0	90.3	10963909.0											
WT70R4D3_1																	77.47785552415638	63.0	150.0	45.45454545454545	23759237.0	51.789711877812685	52.0350169003741	51.0	141.0237268751587	18.181818181818183	12141759.0
WT70R4D3_2																	71.68517222703976	72.0	150.0	45.45454545454545	23759237.0	3.1750338896264503	49.90452572438561	52.0	140.96561256075006	18.181818181818183	12141759.0
WT70R4D4	36409379	36409379	0.271743933355568	0.425269	0.95	14789419.0	45.40982146385963	0.002219014	6821109.0	29588270.0	100.0	99.96812250259984	2.154755921856871	29588270.0	86.38	13937799.0											
WT70R4D4_1																	75.47710084696934	59.0	150.0	45.45454545454545	23479749.0	36.192865860704046	62.420618218646375	51.0	138.82865218138534	18.181818181818183	16134953.0
WT70R4D4_2																	67.51416990624598	63.0	150.0	45.45454545454545	23479749.0	5.426581973540972	60.59378182772438	51.0	138.80321882561418	18.181818181818183	16134953.0
WTG0R1D3	61248400	61248400	0.0837749424318805	0.250147	0.99	29070387.0	70.20622252989466	0.002377692	3091527.0	58156873.0	100.0	99.97231797521164	0.4372931123721181	58156873.0	89.62	28564934.0											
WTG0R1D3_1																	65.8194886687991	51.0	150.0	27.27272727272727	32495859.0	7.698132060457303	64.63159095179387	51.0	140.67924580455386	18.181818181818183	31872534.0
WTG0R1D3_2																	63.13632908808462	52.0	150.0	27.27272727272727	32495859.0	5.949060689035281	62.43726993554997	51.0	140.6424857841551	18.181818181818183	31872534.0
WTG0R1D4	52399451	52399451	0.0926496345862688	0.258257	0.89	24903265.0	69.62167218126007	0.002325186	2571164.0	49828287.0	100.0	99.9563360466315	0.4405509665624267	49828287.0	89.81	24517142.0											
WTG0R1D4_1																	65.60750992409007	52.0	150.0	27.27272727272727	28976387.0	11.699972785887121	62.78006624178951	51.0	140.08030022846896	18.181818181818183	27298677.0
WTG0R1D4_2																	63.10310553549965	53.0	150.0	45.45454545454545	28976387.0	6.224604077336028	61.001294684076356	51.0	140.0159162292004	18.181818181818183	27298677.0
WTG0R3D3	63830726	63830726	0.134430737677697	0.340985	0.71	29267488.0	59.45802653098446	0.002567895	5276099.0	58554627.0	100.0	99.96643988527157	0.813899813587746	58554627.0	80.29	28570369.0											
WTG0R3D3_1																	72.40807716071245	50.0	150.0	27.27272727272727	36433622.0	8.81742157468359	71.23775332014019	50.0	139.547643085139	18.181818181818183	35584251.0
WTG0R3D3_2																	69.79433938532753	51.0	150.0	27.27272727272727	36433622.0	6.713886713395299	68.94633296075362	50.0	139.46620700264282	18.181818181818183	35584251.0
WTG0R3D4	56264330	56264330	0.110651545656206	0.346508	0.34	25842997.0	59.05800353438848	0.002408309	4563764.0	51700566.0	100.0	99.97181462191342	0.8003664795468584	51700566.0	81.33	25244642.0											
WTG0R3D4_1																	73.82719830091875	51.0	150.0	27.27272727272727	32601806.0	12.641498858478373	71.67146773581702	49.0	137.2085737164617	18.181818181818183	31037952.0
WTG0R3D4_2																	71.17331733571433	51.0	150.0	36.36363636363637	32601806.0	8.044030525998059	70.28529395497549	49.0	137.1950073574442	18.181818181818183	31037952.0
WTG0R4D3	48243534	48243534	0.107270332119395	0.275954	1.14	22252758.0	65.74000155129596	0.002478896	3724753.0	44518781.0	100.0	99.97020358666154	0.7477540770938899	44518781.0	81.71	21720042.0											
WTG0R4D3_1																	65.46653755110873	52.0	150.0	27.27272727272727	27634880.0	10.291285312860655	63.602932069861936	51.0	139.4241089556051	18.181818181818183	26582570.0
WTG0R4D3_2																	62.83557216069814	52.0	150.0	27.27272727272727	27634880.0	6.663232311243375	61.78704919109215	51.0	139.40288312981025	18.181818181818183	26582570.0
WTG0R4D4	54307921	54307921	0.124177745243968	0.300844	0.92	25752105.0	65.48312906325397	0.002272485	2790152.0	51517769.0	100.0	99.97368092550747	0.4686402472125685	51517769.0	86.72	25336581.0											
WTG0R4D4_1																	66.47044990062577	53.0	150.0	27.27272727272727	31279314.0	13.320558649932881	63.51446554071886	51.0	138.7479899932274	18.181818181818183	29217812.0
WTG0R4D4_2																	63.90916291762922	54.0	150.0	36.36363636363637	31279314.0	6.916077912279875	61.78712104201666	51.0	138.70635614330052	18.181818181818183	29217812.0
