Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
WTG0R1D3_1	WTG0R1D3_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31872534.0	0.0	20-150	51.0	35.36840904820613	140.67924580455386	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
WTG0R1D3_2	WTG0R1D3_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31872534.0	0.0	20-150	51.0	37.56273006445003	140.6424857841551	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
WTG0R1D4_1	WTG0R1D4_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27298677.0	0.0	20-150	51.0	37.21993375821049	140.08030022846896	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
WTG0R1D4_2	WTG0R1D4_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27298677.0	0.0	20-150	51.0	38.998705315923644	140.0159162292004	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
WTG0R3D3_1	WTG0R3D3_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35584251.0	0.0	20-150	50.0	28.762246679859814	139.547643085139	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
WTG0R3D3_2	WTG0R3D3_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35584251.0	0.0	20-150	50.0	31.053667039246374	139.46620700264282	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
WTG0R3D4_1	WTG0R3D4_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31037952.0	0.0	20-150	49.0	28.328532264182982	137.2085737164617	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
WTG0R3D4_2	WTG0R3D4_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31037952.0	0.0	20-150	49.0	29.714706045024506	137.1950073574442	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
WTG0R4D3_1	WTG0R4D3_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26582570.0	0.0	20-150	51.0	36.397067930138064	139.4241089556051	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
WTG0R4D3_2	WTG0R4D3_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26582570.0	0.0	20-150	51.0	38.21295080890785	139.40288312981025	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
WTG0R4D4_1	WTG0R4D4_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29217812.0	0.0	20-150	51.0	36.48553445928114	138.7479899932274	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
WTG0R4D4_2	WTG0R4D4_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29217812.0	0.0	20-150	51.0	38.21287895798334	138.70635614330052	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
