Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
WT7005R4D4	35860581.0	0.0	35860581.0	1.0	17933242.0	17927339.0	35860581.0	35850384.0	0.0	35850384.0	35860581.0	9965705.0	611718.0	0.0	6581724.0	0.0	5018119190.0	2509650280.0	2508468910.0	5018119190.0	4993542386.0	0.0	1397437311.0	11271441.0	0.002257203	139.0	140.0	140.0	150.0	150.0	150.0	35.9	285.7	480.8	15038286.0	2886906.0	0.0	0.0	100.0	100.0	99.97156487788081	0.0	99.97156487788081	100.0	27.790138146395343	1.7058228922727157	0.0
WT701R1D4	49789698.0	0.0	49789698.0	1.0	24896867.0	24892831.0	49789698.0	49778056.0	0.0	49778056.0	49789698.0	18866542.0	359116.0	0.0	4228502.0	0.0	6843110051.0	3421933195.0	3421176856.0	6843110051.0	6808787403.0	0.0	2595678617.0	17142377.0	0.002517684	137.0	137.0	137.0	150.0	150.0	150.0	35.9	230.1	176.5	20018211.0	4870817.0	0.0	0.0	100.0	100.0	99.97661765291286	0.0	99.97661765291286	100.0	37.892461207537345	0.7212656722681868	0.0
WT701R3D4	45736745.0	0.0	45736745.0	1.0	22872003.0	22864742.0	45736745.0	45723356.0	0.0	45723356.0	45736745.0	11916778.0	179585.0	0.0	2230519.0	0.0	6472768501.0	3237068215.0	3235700286.0	6472768501.0	6442301534.0	0.0	1695144783.0	15247931.0	0.002366845	141.0	142.0	142.0	150.0	150.0	150.0	35.8	246.1	158.2	19582885.0	3278793.0	0.0	0.0	100.0	100.0	99.97072594475186	0.0	99.97072594475186	100.0	26.055151060706223	0.39264928013569833	0.0
WT701R4D4	24487351.0	0.0	24487351.0	1.0	12245113.0	12242238.0	24487351.0	24480628.0	0.0	24480628.0	24487351.0	7812650.0	186458.0	0.0	2187854.0	0.0	3452226488.0	1726429405.0	1725797083.0	3452226488.0	3434281810.0	0.0	1108114033.0	9224683.0	0.002686059	140.0	141.0	141.0	150.0	150.0	150.0	35.8	239.8	168.1	10348807.0	1891507.0	0.0	0.0	100.0	100.0	99.97254500905386	0.0	99.97254500905386	100.0	31.90483935971678	0.7614461850120089	0.0
WT70R1D3	53773946.0	0.0	53773946.0	1.0	26893332.0	26880614.0	53773946.0	53751124.0	0.0	53751124.0	53773946.0	16368448.0	502538.0	0.0	5836065.0	0.0	7508000034.0	3755177248.0	3752822786.0	7508000034.0	7471449839.0	0.0	2294327272.0	15949521.0	0.002134729	139.0	140.0	140.0	150.0	150.0	150.0	35.9	249.5	281.1	22274037.0	4601525.0	0.0	0.0	100.0	100.0	99.95755937271184	0.0	99.95755937271184	100.0	30.439365561902417	0.9345380753720399	0.0
WT70R1D4	48226448.0	0.0	48226448.0	1.0	24117632.0	24108816.0	48226448.0	48208826.0	0.0	48208826.0	48226448.0	16787717.0	276262.0	0.0	3317010.0	0.0	6702177871.0	3351814843.0	3350363028.0	6702177871.0	6668569568.0	0.0	2347403896.0	14534683.0	0.00217958	138.0	139.0	139.0	150.0	150.0	150.0	35.9	232.6	160.4	19967562.0	4136851.0	0.0	0.0	100.0	100.0	99.96345988408683	0.0	99.96345988408683	100.0	34.810187555177194	0.5728433493588415	0.0
WT70R3D3	53558267.0	0.0	53558267.0	1.0	26784420.0	26773847.0	53558267.0	53539134.0	0.0	53539134.0	53558267.0	17781917.0	354044.0	0.0	4162995.0	0.0	7382178325.0	3692107540.0	3690070785.0	7382178325.0	7346168073.0	0.0	2460452669.0	15891863.0	0.002163286	137.0	138.0	138.0	150.0	150.0	150.0	35.9	234.5	182.8	21797607.0	4971960.0	0.0	0.0	100.0	100.0	99.96427628997033	0.0	99.96427628997033	100.0	33.20106866041801	0.6610445405188334	0.0
WT70R3D4	60454719.0	0.0	60454719.0	1.0	30233408.0	30221311.0	60454719.0	60436728.0	0.0	60436728.0	60454719.0	25152387.0	421145.0	0.0	4930896.0	0.0	8405546776.0	4204005623.0	4201541153.0	8405546776.0	8365533486.0	0.0	3515609420.0	18326442.0	0.002190708	139.0	139.0	139.0	150.0	150.0	150.0	35.9	242.9	187.4	25015182.0	5203182.0	0.0	0.0	100.0	100.0	99.97024053655763	0.0	99.97024053655763	100.0	41.60533274499216	0.696628827271532	0.0
WT70R4D3	22605013.0	0.0	22605013.0	1.0	11304435.0	11300578.0	22605013.0	22599396.0	0.0	22599396.0	22605013.0	5563111.0	218242.0	0.0	2455812.0	0.0	3198334043.0	1599579115.0	1598754928.0	3198334043.0	3182656649.0	0.0	791351645.0	7372783.0	0.00231655	141.0	142.0	141.0	150.0	150.0	150.0	35.8	258.4	241.9	9642987.0	1656711.0	0.0	0.0	100.0	100.0	99.97515152944172	0.0	99.97515152944172	100.0	24.61007653479341	0.965458414025243	0.0
WT70R4D4	29588270.0	0.0	29588270.0	1.0	14796128.0	14792142.0	29588270.0	29578838.0	0.0	29578838.0	29588270.0	12582985.0	637555.0	0.0	6821109.0	0.0	4141714854.0	2071221764.0	2070493090.0	4141714854.0	4121152894.0	0.0	1769896870.0	9144897.0	0.002219014	139.0	140.0	140.0	150.0	150.0	150.0	35.9	346.5	753.0	12354606.0	2434813.0	0.0	0.0	100.0	100.0	99.96812250259984	0.0	99.96812250259984	100.0	42.52693719504384	2.154755921856871	0.0
WTG0R1D3	58156873.0	0.0	58156873.0	1.0	29082756.0	29074117.0	58156873.0	58140774.0	0.0	58140774.0	58156873.0	14547783.0	254316.0	0.0	3091527.0	0.0	8215918756.0	4108848117.0	4107070639.0	8215918756.0	8173362683.0	0.0	2062680592.0	19433741.0	0.002377692	141.0	141.0	141.0	150.0	150.0	150.0	35.8	245.9	153.6	24870919.0	4199468.0	0.0	0.0	100.0	100.0	99.97231797521164	0.0	99.97231797521164	100.0	25.014726978185365	0.4372931123721181	0.0
WTG0R1D4	49828287.0	0.0	49828287.0	1.0	24920203.0	24908084.0	49828287.0	49806530.0	0.0	49806530.0	49828287.0	12868501.0	219519.0	0.0	2571164.0	0.0	7008636733.0	3505546987.0	3503089746.0	7008636733.0	6969546969.0	0.0	1816610140.0	16205489.0	0.002325186	140.0	141.0	141.0	150.0	150.0	150.0	35.9	237.2	148.8	21042550.0	3860715.0	0.0	0.0	100.0	100.0	99.9563360466315	0.0	99.9563360466315	100.0	25.825694148386034	0.4405509665624267	0.0
WTG0R3D3	58554627.0	0.0	58554627.0	1.0	29283427.0	29271200.0	58554627.0	58534976.0	0.0	58534976.0	58554627.0	19966244.0	476576.0	0.0	5276099.0	0.0	8215134328.0	4108957336.0	4106176992.0	8215134328.0	8162665789.0	0.0	2808420962.0	20960867.0	0.002567895	140.0	140.0	140.0	150.0	150.0	150.0	35.8	247.1	164.1	24658260.0	4609228.0	0.0	0.0	100.0	100.0	99.96643988527157	0.0	99.96643988527157	100.0	34.09849062824702	0.813899813587746	0.0
WTG0R3D4	51700566.0	0.0	51700566.0	1.0	25853451.0	25847115.0	51700566.0	51685994.0	0.0	51685994.0	51700566.0	17914662.0	413794.0	0.0	4563764.0	0.0	7136100779.0	3568592521.0	3567508258.0	7136100779.0	7090387624.0	0.0	2477646232.0	17075845.0	0.002408309	138.0	138.0	138.0	150.0	150.0	150.0	35.9	217.5	142.3	20948687.0	4894310.0	0.0	0.0	100.0	100.0	99.97181462191342	0.0	99.97181462191342	100.0	34.65080440318584	0.8003664795468584	0.0
WTG0R4D3	44518781.0	0.0	44518781.0	1.0	22262943.0	22255838.0	44518781.0	44505516.0	0.0	44505516.0	44518781.0	12285154.0	332891.0	0.0	3724753.0	0.0	6306320609.0	3153790529.0	3152530080.0	6306320609.0	6267445055.0	0.0	1748680344.0	15536343.0	0.002478896	141.0	142.0	142.0	150.0	150.0	150.0	35.9	232.6	140.8	18959696.0	3293062.0	0.0	0.0	100.0	100.0	99.97020358666154	0.0	99.97020358666154	100.0	27.595441124050545	0.7477540770938899	0.0
WTG0R4D4	51517769.0	0.0	51517769.0	1.0	25763232.0	25754537.0	51517769.0	51504210.0	0.0	51504210.0	51517769.0	15498817.0	241433.0	0.0	2790152.0	0.0	7284821535.0	3643258657.0	3641562878.0	7284821535.0	7246031609.0	0.0	2201480051.0	16466495.0	0.002272485	141.0	141.0	141.0	150.0	150.0	150.0	35.9	224.9	131.0	21725831.0	4026274.0	0.0	0.0	100.0	100.0	99.97368092550747	0.0	99.97368092550747	100.0	30.08441029346593	0.4686402472125685	0.0
