[2023-04-24 05:01:54,352] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/32G0R1D3_2_val_2_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:54,352] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/3270R4D4_2_val_2_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:54,352] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/WT7005R3D3_2_val_2_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:54,352] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/WT7005R4D3_2_val_2_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:54,352] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/32701R3D4_2_val_2_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:54,352] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/WTG0R4D3_1_val_1_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:54,352] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/WT7005R1D4_2_val_2_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:54,352] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/3270R1D3_2_val_2_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:54,352] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/WT7005R4D3_1_val_1_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:54,353] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/WTG0R4D3_2_val_2_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:54,353] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/32G0R3D3_1_val_1_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:54,353] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/WT7005R4D4_2_val_2_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:54,353] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/WTG0R3D4_1_val_1_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:54,353] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/WT70R3D4_2_val_2_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:54,353] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/WTG0R3D3_1_val_1_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:54,353] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/32701R4D4_1_val_1_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:54,353] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/WT701R3D4_2_val_2_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:54,353] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/3270R3D4_2_val_2_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:54,353] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/WT70R4D4_2_val_2_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:54,353] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/32G0R1D4_1_val_1_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:54,353] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/3270R3D4_1_val_1_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:54,353] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/32G0R3D3_2_val_2_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:54,353] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/WT70R1D4_2_val_2_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:54,353] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/32701R3D4_1_val_1_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:54,353] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/WT7005R1D4_1_val_1_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:54,353] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/WT70R4D4_1_val_1_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:54,353] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/3270R3D3_1_val_1_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:54,353] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/32G0R1D3_1_val_1_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:54,353] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/32G0R4D4_1_val_1_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:54,353] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/32G0R1D4_2_val_2_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:54,353] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/WTG0R1D3_1_val_1_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:54,353] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/3270R1D4_1_val_1_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:54,353] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/WTG0R1D3_2_val_2_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:54,353] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/WT70R3D3_2_val_2_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:54,353] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/3270R1D3_1_val_1_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:54,353] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/3270R4D3_1_val_1_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:54,353] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/WT7005R3D3_1_val_1_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:54,353] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/WTG0R1D4_1_val_1_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:54,353] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/32701R1D4_2_val_2_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:54,353] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/WTG0R4D4_2_val_2_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:54,353] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/WT7005R1D3_1_val_1_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:54,353] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/WT70R1D3_1_val_1_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:54,353] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/WT7005R4D4_1_val_1_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:54,353] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/WT701R1D4_2_val_2_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:54,353] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/WT7005R3D4_2_val_2_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:54,353] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/32G0R4D4_2_val_2_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:54,353] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/WT7005R3D4_1_val_1_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:54,353] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/WT70R4D3_2_val_2_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:54,353] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/WT701R3D4_1_val_1_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:54,353] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/WT70R1D4_1_val_1_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:54,353] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/WTG0R4D4_1_val_1_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:54,353] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/WTG0R3D4_2_val_2_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:54,353] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/WTG0R3D3_2_val_2_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:54,353] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/WT701R1D4_1_val_1_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:54,353] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/WT7005R4D4_1_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:54,487] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/32G0R3D4_2_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:54,626] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/WTG0R1D4_1_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:54,877] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/3270R3D3_2_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:55,013] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/3270R3D4_2_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:55,171] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/WT70R3D3_1_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:55,348] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/WT7005R1D3_2_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:55,463] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/32G0R3D4_1_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:55,690] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting './fastqc/WT70R1D4_2_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
