Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150
32G0R1D4_1 - Adapter 1	581140	177575	87351	52741	49434	43162	42210	43416	41538	44133	45319	47321	47916	50099	54063	58303	59149	54851	50047	53058	54894	59574	59915	62026	61055	59567	62190	56327	56411	53145	52465	56189	54529	56698	58019	57384	56789	56312	53955	54326	47806	47865	50271	46594	78630	22433	45423	50914	44481	38687	47490	42227	40137	44044	47789	37969	46088	41438	38508	32399	24882	38009	41345	27827	25231	58442	32320	46514	28358	23780	3641	5509	12994	16110	17629	17273	16752	16182	14894	14181	13216	11378	10236	9614	9506	9120	8186	7826	6958	6759	5882	5534	4858	4348	3709	3464	3138	2993	2812	2581	2356	1973	1918	7509	1416	1267	1189	1059	1027	921	736	685	558	562	518	590	556	1100	732	578	1096	414	381	453	193	146	124	136	106	180	84	159	92	108	132	126	314	601	418	237	1113	266	463	430	586	1260	2841	4877	56727	12067354
32G0R1D4_2 - Adapter 1	608584	181933	88688	52881	49649	43111	43692	46638	37440	44938	44735	47653	47478	52306	52210	58319	64533	46712	61379	49045	49644	59079	58823	69469	70592	51121	53819	58644	53485	57169	49513	60165	54701	52856	57894	56710	55724	59427	57923	48727	46153	46637	45671	47584	50407	51733	47190	45110	44508	41955	42482	42486	43070	45550	40145	39907	45468	34389	35498	36987	31298	30730	46289	26291	25337	24902	29119	29090	25083	30415	36421	31355	36243	24588	16157	4924	10727	13962	13709	13369	12565	10967	10178	9429	9391	8291	7723	7443	6623	6357	5541	5346	4709	4195	3577	3352	3067	2986	2822	2635	2340	1894	1860	7295	1391	1217	1146	1050	964	903	718	650	556	536	486	567	525	1037	668	497	975	324	286	386	139	114	93	118	80	147	52	119	64	70	97	83	136	371	203	110	654	92	196	83	57	472	64	82	517	74108
32G0R3D3_1 - Adapter 1	5314006	1746045	658829	284343	225537	189787	186619	196303	182833	190231	193780	194028	195012	194357	198635	198608	205882	200891	183336	197307	193343	197490	197432	196372	197982	194553	198027	190628	192754	186271	180727	184718	182082	181623	184731	182121	165501	172288	167320	156662	166699	174720	126623	144521	228666	60477	134261	288548	134990	62278	191256	85406	52317	149167	163847	79799	89435	42284	104376	26111	24069	80371	51305	18750	42221	82599	12744	33147	29471	30592	2090	2786	10978	18519	21486	21803	20702	19311	17721	15868	14390	13286	11827	10577	9725	8668	7817	7019	6421	5807	5383	4714	4146	3684	3301	2838	2596	2281	1993	1880	1611	1411	1454	2940	1006	867	790	698	667	548	503	433	379	370	298	322	291	309	269	195	246	194	128	170	107	116	118	108	128	72	95	71	90	60	77	74	50	81	82	107	167	86	79	62	90	216	299	420	3972	564508
32G0R3D3_2 - Adapter 1	5285424	1751645	658954	284757	226197	190037	194058	208544	164110	193748	191373	196130	191552	208026	186140	199683	227606	164466	222491	180553	184870	195086	193981	204660	234599	161073	190210	190940	189202	189330	180977	189024	178062	188242	186218	170571	174133	168842	178998	155988	138144	151041	143672	144475	143277	142314	130109	124452	122688	113710	111176	107654	101483	103392	90528	90905	100640	69748	74635	76242	65222	60610	84302	49201	46486	43832	50559	47712	38674	41054	38556	34422	47175	31331	19320	5957	13285	16851	16430	14961	13836	12766	11659	10422	9689	8477	7540	6733	6217	5700	5180	4596	4070	3566	3208	2760	2563	2329	2003	1919	1590	1395	1393	2891	1014	879	797	692	680	550	527	443	384	365	302	338	309	313	246	206	244	185	136	159	123	105	113	97	121	73	74	73	88	76	74	80	55	79	72	95	144	71	45	31	46	156	92	66	51	7343
32G0R3D4_1 - Adapter 1	4825499	1555247	592214	259913	207297	173713	171407	176839	163963	169400	172782	174702	175960	176351	182776	181364	186398	181258	161982	174187	170346	175596	176423	175312	176834	173359	174695	165942	166106	158102	151778	156222	154397	154069	156428	155493	139697	144871	138670	127821	133920	140669	102152	116457	183013	50927	107447	225275	102903	48324	141487	61405	48394	124678	125698	59914	68937	31902	82352	20268	21386	62121	38995	14539	32297	64718	9977	25978	22884	23324	1630	2204	8235	14468	17061	17449	16338	15225	14324	12770	11500	10318	9275	8490	7710	7268	6552	6084	5321	4879	4377	3864	3305	2958	2623	2321	2131	1964	1698	1542	1355	1219	1218	2796	894	702	622	589	523	473	383	354	270	273	237	250	237	195	169	131	137	96	102	121	63	80	59	73	72	62	75	33	50	34	45	31	57	104	61	91	205	85	95	86	109	363	466	703	6835	1025995
32G0R3D4_2 - Adapter 1	4800021	1562283	591215	261066	208547	173835	178090	190574	145090	173497	168926	176355	172998	186435	173533	182517	207080	146858	205509	157253	156074	173322	173406	186432	206323	150962	158680	170215	158865	163036	149807	159645	159927	148832	150863	157339	172576	132236	118120	124820	123413	122815	114457	116877	115260	115512	106006	99031	97140	89387	85696	82780	77656	80160	70221	70730	78930	54421	57637	59304	49129	46178	65579	36853	35584	33896	39553	37411	30071	31884	30015	26943	36268	24793	15366	4769	10819	13201	13244	12049	11069	9926	9023	8282	7598	7071	6340	5904	5146	4736	4212	3758	3266	2850	2579	2284	2105	1947	1717	1586	1339	1217	1183	2705	872	698	620	577	539	457	382	345	264	267	226	242	223	198	148	129	152	106	92	111	59	68	69	73	70	50	52	40	56	27	38	32	43	69	51	76	142	63	56	30	33	252	103	53	84	12169
32G0R4D3_1 - Adapter 1	3870845	1284020	511370	246125	204220	172940	170944	177833	165178	171530	174660	176684	176507	180412	182864	185306	189834	179034	171002	176132	175003	179072	180799	180500	181539	178441	178952	169149	170948	164230	158657	162548	160222	163454	153948	157169	148912	148473	142263	135608	129595	134769	117096	123118	185250	54729	107917	344995	103240	29363	159799	66020	22651	103014	112035	42923	41800	18042	58423	9073	11811	45122	20080	7681	22873	40896	4793	14866	14547	16515	1206	1263	4920	9387	11386	12146	11517	10573	9881	8826	7910	7224	6534	6101	5605	5144	4580	4255	3819	3465	3200	2905	2649	2457	2178	1982	1842	1719	1572	1437	1561	2411	17068	229286	5562	1315	978	809	757	726	573	511	452	409	415	381	358	372	317	248	246	186	166	139	105	101	98	109	79	69	56	47	54	44	39	38	69	95	66	84	189	82	80	67	128	345	495	744	7909	1467072
32G0R4D3_2 - Adapter 1	3844635	1292994	510773	243801	204376	173446	176614	189336	149438	175474	171429	178180	175456	187951	176030	185381	210056	150066	211828	161041	156244	178478	177447	206375	209684	151755	152913	177997	160302	181316	144738	194823	156772	148099	148034	150965	151208	141975	142890	130860	129422	124482	117355	118952	116389	114947	104559	98318	95470	87050	84594	79803	74757	75589	65635	65540	70833	50283	51198	51774	43060	39472	55748	31528	29396	27640	31576	28794	23252	24472	22631	19996	26313	17776	11432	4359	7726	9426	9240	8438	7613	7086	7168	6435	6480	5547	4693	4329	3840	3456	3177	2867	2639	2392	2152	1940	1885	1826	2033	2735	2630	3192	17371	219657	5304	1274	967	820	737	697	570	499	445	419	430	368	349	354	313	254	266	177	145	136	101	106	111	98	77	61	54	47	53	41	47	41	50	71	53	66	142	62	51	18	29	246	95	45	72	8726
32G0R4D4_1 - Adapter 1	3556070	1132697	428398	186741	147549	120875	117988	121576	112709	116652	118149	118823	117934	120478	122150	122572	124768	116020	110893	113265	111159	112575	113765	113380	111983	109147	109160	102219	103039	96450	92609	94525	92492	93633	87152	87955	82816	82033	77772	73473	68762	72549	62370	65739	97745	29638	57027	184635	55060	15501	85534	35363	11837	54943	60921	23156	22404	9809	31878	5059	6525	24676	11047	4407	12925	23346	2952	8907	8855	10348	828	902	3163	5851	7075	7533	7259	6826	6375	5644	5338	4852	4300	3960	3645	3499	3027	2812	2650	2393	2175	1965	1743	1633	1511	1371	1251	1192	1090	931	910	830	919	3093	615	554	505	458	463	433	337	314	277	272	244	272	226	311	192	165	231	125	154	123	76	78	68	75	68	57	47	40	56	56	43	49	61	181	107	123	308	118	187	178	261	900	1256	1888	20515	4306039
32G0R4D4_2 - Adapter 1	3533394	1140349	427221	186348	147829	120870	122183	130181	101079	119624	115854	119941	117312	125457	117808	122730	137416	97739	136691	103447	99992	112005	111948	127915	130110	93019	93625	107417	96974	105358	85522	105790	89946	83425	90761	84181	84231	87389	80623	66200	65211	66163	63064	62655	61703	61384	54501	51502	50058	44686	44378	41782	39376	39645	35055	34608	37217	27110	27303	28278	23262	21592	30404	17759	16735	15907	18041	17001	14016	15336	16022	13618	16797	11122	7021	2160	4754	6045	5987	5349	5135	4684	4243	3907	3647	3348	2907	2751	2544	2272	2109	1931	1706	1596	1465	1338	1237	1186	1100	975	914	829	909	3025	608	542	517	466	455	427	331	317	265	280	241	285	233	318	206	157	204	124	140	98	77	68	61	64	68	48	51	41	42	48	32	30	35	118	68	91	213	64	65	38	34	557	88	38	111	13477
